codigo_ine_provincia,nombre_provincia,nombre_fundacion,enlace_detalle,codigo_registro,timestamp,nif,numero_registro,fecha_extincion,fecha_constitucion,fecha_inscripcion,domicilio,localidad,codigo_postal,provincia_detalle,telefono,fax,email,web,fecha_extraccion
22,Huesca,TRIAS BARCO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16262&index=1&lang=es_ES,=16262,2026-01-27T18:51:03.080118,G22326375,277SND,,04/06/2007,22/10/2007,"Avda. de Madrid, 37 - Entlo. 1ª",Fraga,22520,Huesca,,,,,2026-01-27T19:11:51.589813
22,Huesca,ANDROMEDA FUNDACION,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16263&index=1&lang=es_ES,=16263,2026-01-27T18:51:03.102089,G25584053,278SND,,14/07/2005,04/07/2008,"c/ Masarrabal, 5 - 1ºE",Fraga,22520,Huesca,973777503,,,,2026-01-27T19:11:53.275661
22,Huesca,ETNODIVERSIDAD,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16264&index=1&lang=es_ES,=16264,2026-01-27T18:51:03.116233,G22337281,279SND,,04/04/2008,31/07/2009,"Avda. de la Merced, 31",Barbastro,22300,Huesca,,,,,2026-01-27T19:11:55.217152
22,Huesca,ROCKCAMP ACAMPALIA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16687&index=1&lang=es_ES,=16687,2026-01-27T18:51:03.133154,G83864918,702SND,,30/12/2003,18/03/2004,"C/ Cabestany, 2 - 2º A",Huesca,22005,Huesca,660392192,,kalimedes@kalimedes.org,,2026-01-27T19:11:56.857755
22,Huesca,OSAPIENS FOUNDATION,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18112&index=1&lang=es_ES,=18112,2026-01-27T18:51:03.152574,G22424287,2163JUS,,21/11/2018,26/02/2019,"Plaza de Cataluña nº 1, Oficinas",Huesca,22004,Huesca,974228233,,lara@estalloasesores.com,,2026-01-27T19:11:58.655405
22,Huesca,CASTILLO DE LOARRE,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18620&index=1&lang=es_ES,=18620,2026-01-27T18:51:03.162873,G22274781,2476JUS,,17/07/2003,18/01/2022,"C/ Cabestany, 2 - 2º A",Huesca,22002,Huesca,,,,,2026-01-27T19:12:00.318548
22,Huesca,CORN FOR A BETTER WORLD,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18477&index=1&lang=es_ES,=18477,2026-01-27T18:51:03.186713,G05279963,2528JUS,,18/03/2021,21/03/2022,Carretera de Monzón a Fonz Km 6,Almunia de San Juan,22420,Huesca,,,,,2026-01-27T19:12:02.007695
22,Huesca,ARRANZ RASO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18713&index=1&lang=es_ES,=18713,2026-01-27T18:51:03.201377,G10778827,2635JUS,,27/05/2022,08/11/2022,"Casa Silvestre, calle Valle de Sositana 3",Castejón de Sos,22466,Huesca,,,,,2026-01-27T19:12:03.657387
22,Huesca,HAND IN HAND,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18391&index=1&lang=es_ES,=18391,2026-01-27T18:51:03.216050,G02637783,2718JUS,,29/09/2020,27/04/2023,"Plaza de Europa número 2, 4ºA.",Monzón,22400,Huesca,,,,,2026-01-27T19:12:07.317688
23,Jaén,ALBOR,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4374&index=1&lang=es_ES,=4374,2026-01-27T18:51:07.173739,G83343863,637EDU,,06/06/2002,10/10/2002,"CARRETERA DE MADRID, 21",JAÉN,23009,Jaén,,,info@fundacionalbor.org,http://www.fundacionalbor.org,2026-01-27T19:12:08.972385
23,Jaén,CENTRO EMPRESARIAL Y SECTORIAL PARA LA INNOVACIÓN TECNOLÓGICA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4873&index=1&lang=es_ES,=4873,2026-01-27T18:51:07.196171,G23537954,877CIN,,28/07/2005,08/03/2006,"Avenida de Andalucía, 100 - 1º",Jaén,23006,Jaén,953089020,,,,2026-01-27T19:12:10.716142
23,Jaén,PARA LA EDUCACIÓN Y LA FORMACIÓN INFANTIL (F.E.L.Í.),https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4885&index=1&lang=es_ES,=4885,2026-01-27T18:51:07.210973,G23483191,945EDU,,19/09/2002,08/01/2007,"C/. Blas Infante, Nº 1, portal 5, 3K",Úbeda,23400,Jaén,953754504,,g_l_ubeda@hotmail.com,,2026-01-27T19:12:12.441446
23,Jaén,CENTRO DE DOCUMENTACIÓN MUSICAL-CASA MUSEO ANDRÉS SEGOVIA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=10371&index=1&lang=es_ES,=10371,2026-01-27T18:51:07.227479,G23383151,335CUL,,18/05/1995,12/11/1997,"C/ Cánovas del Castillo, 59",Linares,23700,Jaén,953651390,953651390,fundacion@segoviamuseo.com,http://www.segoviamuseo.com,2026-01-27T19:12:15.141995
23,Jaén,CAJA RURAL DE JAÉN,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15046&index=1&lang=es_ES,=15046,2026-01-27T18:51:07.246326,G23590490,750CUL,,17/01/2007,06/03/2007,"C/. Madrid, 26",La Carolina,23200,Jaén,953660186,953265120,,,2026-01-27T19:12:17.172197
23,Jaén,QUBBET EL-HAWA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15473&index=1&lang=es_ES,=15473,2026-01-27T18:51:07.263080,G23679897,1012CUL,,18/03/2011,15/07/2011,"Virgen de la Capilla, 7 5º",Jaén,23001,Jaén,,,,,2026-01-27T19:12:19.100129
23,Jaén,CATALINA MIR,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16265&index=1&lang=es_ES,=16265,2026-01-27T18:51:07.277689,G23026750,280SND,,15/11/1979,31/12/1980,"C/Ejido de la Alcantarilla,14",Jaén,23002,Jaén,953233738,953233757,secretario@catalinamir.org,http://www.catalinamir.org,2026-01-27T19:12:21.159287
23,Jaén,MARTIN HALAJA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16266&index=1&lang=es_ES,=16266,2026-01-27T18:51:07.292020,G23381668,281SND,,13/01/1998,12/03/1998,"Pza. del Ayuntamiento, 1",La Carolina,23200,Jaén,953660034,953660255,,,2026-01-27T19:12:22.718450
23,Jaén,EUROLINGUA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16267&index=1&lang=es_ES,=16267,2026-01-27T18:51:07.308238,G23447279,282SND,,14/03/2001,20/07/2001,"C/Doctor Sagaz Zubelzu (Tablerón), 18",Jaén,23001,Jaén,953240244,953240244,fundacion@eurolingua.e.telefonica.net,,2026-01-27T19:12:24.590619
23,Jaén,NAYADES,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16269&index=1&lang=es_ES,=16269,2026-01-27T18:51:07.319355,G23457732,284SND,,06/09/2001,11/03/2002,"Avda. de las Cruces, 3 - 1ºC",Jaén,23003,Jaén,953221493,953221493,gestora_gestora@yahoo.es,,2026-01-27T19:12:26.203404
23,Jaén,HUMANITAS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16270&index=1&lang=es_ES,=16270,2026-01-27T18:51:07.339464,G23329436,285SND,,26/10/2001,28/02/2002,"Mercado Mayoristas, 3 - Polígono de los Olivares",Jaén,23009,Jaén,953281789,953281789,humanitas1@hotmail.com,,2026-01-27T19:12:27.793152
23,Jaén,LEGADO LITERARIO DE MIGUEL HERNÁNDEZ,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17838&index=1&lang=es_ES,=17838,2026-01-27T18:51:07.353229,G23775935,1935JUSOP,,27/03/2017,13/07/2018,"PLAZA SAN JUAN DE DIOS, Nº 2",Jaén,23004,Jaén,953248000,,fundacionlegadomh@dipujaen.es,,2026-01-27T19:12:29.643320
23,Jaén,ALFONSO VIII,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17876&index=1&lang=es_ES,=17876,2026-01-27T18:51:07.366834,G23778319,2052JUS,,10/07/2017,29/05/2018,"C/ Cervantes, Nº 10",Santa Elena,23213,Jaén,667995581,,ricardo@chamorroconsultores.com,,2026-01-27T19:12:31.196783
23,Jaén,FUNDACIÓN CLEARDENT,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18807&index=1&lang=es_ES,=18807,2026-01-27T18:51:07.387261,G72787211,2738JUS,,15/11/2022,06/07/2023,AV EDUARDO GARCIA MARTOTO. Nº 2 ENTREPLANTA OFICINAS C Y D,Jaén,23007,Jaén,,,contabilidad@cleardent.es,,2026-01-27T19:12:32.858278
23,Jaén,JOSÉ LUIS MARTÍN LÓPEZ,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18920&index=1&lang=es_ES,=18920,2026-01-27T18:51:07.403841,G13850557,2877JUS,,24/04/2023,24/04/2024,"Polígono Industrial Los Rubiales II, Calle Cuatro, s/n",Linares,23700,Jaén,,,,,2026-01-27T19:12:34.604520
24,León,"CIUDAD DE LA ENERGÍA – CIUDEN, F.S.P.",https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4983&index=1&lang=es_ES,=4983,2026-01-27T18:51:10.953643,G84737238,913EDU-IET,,28/07/2006,02/08/2006,"Avenida Presidente Rodríguez Zapatero, s/n",Cubillos del Sil,24492,León,987456323,987419570,sara.fernandez@ciuden.es,http://www.ciuden.es,2026-01-27T19:12:36.558727
24,León,DON PEDRO DE TOLEDO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14062&index=1&lang=es_ES,=14062,2026-01-27T18:51:10.970861,G24418097,425CUL,,17/06/2000,05/09/2000,Casa Consistorial,Villafranca del Bierzo,24500,León,,,,,2026-01-27T19:12:38.935243
24,León,INSTITUTO EUROPEO DEL CAMINO DE SANTIAGO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14382&index=1&lang=es_ES,=14382,2026-01-27T18:51:10.987056,G24458697,498CUL,,14/06/2002,02/10/2002,"Plaza Mayor, 15",Sahagún,24320,León,987781194,987781194,fiecs@iultreia.net,http://www.iultreia.net,2026-01-27T19:12:40.818301
24,León,EUTHERPE,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14645&index=1&lang=es_ES,=14645,2026-01-27T18:51:10.997999,G24496747,604CUL,,02/06/2004,25/06/2004,"C/. Cardenal Landázuri, 6",León,24003,León,987272986,,,,2026-01-27T19:12:42.566315
24,León,REINA ISABEL I,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14720&index=1&lang=es_ES,=14720,2026-01-27T18:51:11.016137,G24505992,649CUL,,13/12/2004,13/04/2005,"Urbanización El Mirador, Chalet, 9",Trobajo del Camino,24010,León,,,,,2026-01-27T19:12:44.114473
24,León,SABER.ES,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14732&index=1&lang=es_ES,=14732,2026-01-27T18:51:11.029550,G24506891,642CUL,,21/12/2004,14/03/2005,"C/. Roa de la Vega, 18 - bajo",León,24001,León,987875797,,,,2026-01-27T19:12:45.761599
24,León,NACIONAL FUNDASPE,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16272&index=1&lang=es_ES,=16272,2026-01-27T18:51:11.046925,G24299422,287SND,,15/07/1994,07/04/1995,"C/Ramiro Valbuena, 13",León,24001,León,,987224242,fundaspe@telefonica.net,http://www.fundacion-fundaspe.com,2026-01-27T19:12:48.293969
24,León,CLINICA SAN FRANCISCO DE LEON,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16273&index=1&lang=es_ES,=16273,2026-01-27T18:51:11.062087,G24369795,288SND,,20/05/1997,20/05/1998,"C/ Marqueses de San Isidro, 11",León,24004,León,987251012,987251200,fuensantablanco@clinicasanfrancisco.es,http://www.clinicasanfrancisco.es,2026-01-27T19:12:50.081631
24,León,JUANSOÑADOR,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16274&index=1&lang=es_ES,=16274,2026-01-27T18:51:11.082620,G24452435,289SND,,06/06/2002,19/09/2002,"Avda. Antibióticos, 126",León,24009,León,987203712,987259254,fundacionjuans@fundacionjuans.org,http://www.fundacionjuans.org,2026-01-27T19:12:52.467161
24,León,SANTA FAMILIA DE NAZARET,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16275&index=1&lang=es_ES,=16275,2026-01-27T18:51:11.097439,G24464588,290SND,,24/11/2002,12/03/2003,"Avda. Padre Isla, 8 - 2º A -",León,24002,León,,,,,2026-01-27T19:12:54.333079
24,León,FAMILIAS MONOPARENTALES ISADORA DUNCAN,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16276&index=1&lang=es_ES,=16276,2026-01-27T18:51:11.111271,G24496416,291SND,,06/03/2004,17/10/2006,"Avda. Reino de León, 12 portal E-1 - 1º",León,24006,León,987261449,987261448,info@isadoraduncan.es,http://www.isadoraduncan.es,2026-01-27T19:12:55.996367
24,León,DRASANVI,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16278&index=1&lang=es_ES,=16278,2026-01-27T18:51:11.127177,G24672016,293SND,,10/11/2014,14/04/2015,"C/ La Rúa, 17",León,24003,León,,,elena@robherasesores.com,,2026-01-27T19:12:57.595234
24,León,EPIC,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17609&index=1&lang=es_ES,=17609,2026-01-27T18:51:11.140143,G19612019,1941JUS,,11/04/2016,02/10/2017,"Paseo Condesa de Sagasta nº 10, 1º c",León,24001,León,,,,,2026-01-27T19:12:59.644956
24,León,CELLOLEÓN,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17831&index=1&lang=es_ES,=17831,2026-01-27T18:51:11.160562,G24705279,2041JUS,,06/06/2017,17/05/2018,"C/ Martin Sarmiento, nº 19",León,24004,León,987218729,,copymeasesores@gmail.com,,2026-01-27T19:13:01.242695
24,León,EMPLEO VERDE,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18514&index=1&lang=es_ES,=18514,2026-01-27T18:51:11.170784,G06871214,2537JUS,,16/04/2021,08/04/2022,Plaza de El Souto nº 51,Fabero,24420,León,,,,,2026-01-27T19:13:03.428968
24,León,BIBLIOTECA ENRIQUE GIL,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18576&index=1&lang=es_ES,=18576,2026-01-27T18:51:11.191896,G16824419,2606JUS,,01/10/2021,31/08/2022,"Calle del Agua (Casa Gil), número 15",Villafranca del Bierzo,24500,León,,,mail@valentincarrera.es,,2026-01-27T19:13:07.855270
24,León,ESTUDIOS E INVESTIGACION ASPASIA PARA LA FORMACION Y EL EMPLEO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=18644&index=1&lang=es_ES,=18644,2026-01-27T18:51:11.206981,G16915894,2816JUS,,20/01/2022,29/12/2023,"Avenida la Térmica, número 2",La Robla,24640,León,629161903,,,,2026-01-27T19:13:09.678840
25,Lleida,PARA LA INNOVACIÓN Y DESARROLLO EN LA EDUCACIÓN Y EN LA EMPRENDEDURÍA F.GINE,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5576&index=1&lang=es_ES,=5576,2026-01-27T18:51:14.640834,G25720012,1327EDU,,10/12/2010,24/01/2011,"Plaça Sant Llorenç, número 5-6",Lleida,25002,Lleida,663709609,,,,2026-01-27T19:13:11.587160
25,Lleida,LABORAL TAURUS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15908&index=1&lang=es_ES,=15908,2026-01-27T18:51:14.664363,,8EMP,,15/07/1976,06/05/1977,"C/ José Escalier, s/n Oliana Lérida 25790",Oliana,25490,Lleida,,,,,2026-01-27T19:13:13.383851
25,Lleida,AGRICULTORES SOLIDARIOS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16064&index=1&lang=es_ES,=16064,2026-01-27T18:51:14.686859,G62551254,79SND,,26/07/2001,30/10/2001,"Av. Tortosa, 2, Edificio Merco-Lleida",Lleida,25005,Lleida,932680900,932684893,pagesossolidaris@pagesossolidaris.org,http://www.pagesossolidaris.org,2026-01-27T19:13:15.733596
