Localidad,Provincia,CCAA,Clave ACT,Clave GRU,NIF,Entidad financiada 
Vitoria,Álava,EUS,ED,OR,G01025113,Clérigos de San Viator - AMPA Colegio
Vitoria,Álava,EUS,ED,OR,G01025170,Presentación de María - APA Colegio
Vitoria,Álava,EUS,ED,OR,G01025311,Salesianas - AMPA Colegio Nazaret
Vitoria,Álava,EUS,ED,OR,G01025329,Mercedarias - AMPA Colegio
Vitoria,Álava,EUS,ED,OR,G01025410,Marianistas - AMPA Colegio Santa María
Vitoria,Álava,EUS,ED,OR,G01025493,Carmelitas de la Caridad - Colegio Vedruna Niño Jesús
Vitoria,Álava,EUS,ED,OR,G01025600,Escolapios - AMPA Colegio Calasancio
Vitoria,Álava,EUS,ED,OR,G01030535,Escolapios - Colegio Calasanz
Vitoria,Álava,EUS,ED,EC,G01032523,Federación de APAs Francisco de Vitoria
Vitoria,Álava,EUS,ED,ID,G01033547,Fundación Diocesana San José Obrero
Vitoria,Álava,EUS,ED,OR,G01044312,Jesuitas - Escuelas Profesionales Diocesanas Nieves Cano
Vitoria,Álava,EUS,CH,EC,G01047232,Asociación Belenista
Basauri,Bizkaia,EUS,AS,OR,G01119205,Escolapios - Setem
Bilbao,Bizkaia,EUS,AS,OR,G01119205,Escolapios - Setem
Vitoria,Álava,EUS,AS,OR,G01119205,Escolapios - Setem
San Millán,Álava,EUS,AS,OR,G01138858,Viatorianos - Centro Solidaridad
Amurrio,Álava,EUS,ED,OR,G01145317,Kristau Eskola - APA Colegio Amaurre 
Vitoria,Bizkaia,EUS,ED,OR,G01152438,Hijas de la Caridad - AMPA Hogar San José
Amurrio,Álava,EUS,CH,EC,G01163914,Cofradía de la Santa Vera Cruz
Vitoria,Álava,EUS,AS,EC,G01265610,Banco de Alimentos
Vitoria,Bizkaia,EUS,ED,OR,G01267046,Corazonistas - AMPA Colegio
Vitoria,Álava,EUS,ED,OR,G01298306,Marianistas - APA Colegio
Vitoria,Álava,EUS,ED,OR,G01328475,Carmelitas - Solidaridad Vedruna
Vitoria,Álava,EUS,ED,OR,G01395581,Parroquia del Buen Pastor - Asociación Cultural
Vitoria,Álava,EUS,ED,OR,G01488295,Cofradía Nuestro Señor con la Cruz 
Vitoria,Álava,EUS,DEP,OR,G01490184,Carmelitas - Agrupación Deportiva
Vitoria,Álava,EUS,AS,OR,G01503994,Carmelitas - Grupo Tiempo Libre
Barcelona,Barcelona,CAT,AS,EC,G01619915,Mensajeros de la Paz
Alicante,Alicante,VAL,DEP,OR,G01702935,Agustinos - Fundación Balonmano
Villaviciosa,Alicante,VAL,CH,EC,G01746460,A. Hermandad Virgen del Portal de Belén
Rafelbunyol,Valencia,VAL,CH,EC,G01790310,A. Mare de Deu del Miracle
Barcelona,Barcelona,CAT,CUL,OR,G01801380,Benedictinos - ACUB Ambit Cultural de Benedict
Tarancón,Cuenca,CLM,CH,EC,G01878008,A. Jesus Nazareno
Vera,Almería,AND,CH,EC,G01977669,Amigos del Belén
Ceuta,Ceuta,CEU,AS,EC,G01981232,Asoc. de Caridad Virgen de la Luz
Melilla,Melilla,MEL,AS,EC,G01981232,Asoc. de Caridad Virgen de la Luz
El Bonillo,Albacete,CLM,AS,EC,G02011716,Asilo de Ancianos y Huérfanos Desamparados
Albacete,Albacete,CLM,ED,OR,G02012813,Fundación Educación y Evangelio . AMPA Colegio Santo Ángel
Albacete,Albacete,CLM,ED,OR,G02019180,Hijas de la Caridad - AMPA Colegio Inmaculada
Albacete,Albacete,CLM,ED,OR,G02019313,Dominicos FESD - AMPA Colegio San Francisco Coll
Hellín,Albacete,CLM,CH,EC,G02025468,Agrupacion de Hermandades
Hellín,Albacete,CLM,CH,EC,G02105153,Cofradía Ecce Homo
Tobarra,Albacete,CLM,CH,EC,G02112738,A. Virgen de los Dolores
Hellín,Albacete,CLM,CH,EC,G02116259 ,Cofradía N. Sra. de los Dolores
Albacete,Albacete,CLM,ED,OR,G02118750,Dominicos FEFC . AMPA Colegio N. Sra. del Rosario
Albacete,Albacete,CLM,ED,ID,G02140986,Colegio Diocesano - AMPA
Hellín,Albacete,CLM,CH,EC,G02142057,Cofradía Jesús de la Misericordia
Hellín,Albacete,CLM,CH,EC,G02158186,Hermandad San Juan Bautista
Albacete,Albacete,CLM,AS,EC,G02196269,Banco de Alimentos
Hellín,Albacete,CLM,CH,EC,G02198448,Hermandad Oración en el Huerto
Hellín,Albacete,CLM,CH,EC,G02202372,Hermandad Cristo Resucitado
Hellín,Albacete,CLM,CH,EC,G02203412,Cofradía Cristo Coronado Espinas
Hellín,Albacete,CLM,CH,EC,G02214328,Hermandad de La Soledad
Hellín,Albacete,CLM,CH,EC,G02225670,Hermandad de San Antonio Abad
Hellín,Albacete,CLM,CH,EC,G02230647,Cofradía N. Sra. del Perdón
Albacete,Albacete,CLM,AS,EC,G02230761,Mensajeros de la Paz
Villarrobledo,Albacete,CLM,CH,EC,G02239580,Junta de Hermandades
Hellín,Albacete,CLM,CH,EC,G02243053,A. Amigos del Corpus Christi
Tobarra,Albacete,CLM,CH,EC,G02267169,Hermandad del Prendimiento
Hellín,Albacete,CLM,CH,EC,G02283646,Asociación Indulto a Barrabás
La Roda,Albacete,CLM,CH,EC,G02287332,Asociación Belenistas
Hellín,Albacete,CLM,CH,EC,G02308484,Hermandad del Desenclavamiento
Hellín,Albacete,CLM,CH,EC,G02317691,Junta de Semana Santa
Hellín,Albacete,CLM,CH,EC,G02323285,Cofradía del Prendimiento
Hellín,Albacete,CLM,CH,EC,G02326064,Hermandad de la Samaritana
Alcaraz,Albacete,CLM,CH,EC,G02334860,Junta de Cófradías
Minaya,Albacete,CLM,CH,EC,G02348001,Hermandad de San Isidro
La Roda,Albacete,CLM,CH,EC,G02384279,Cofradía N. Sra. de los Remedios
Albacete,Albacete,CLM,AS,EC,G02386019,MSC - Movimiento Scout Católico
Hellín,Albacete,CLM,CH,EC,G02405744,Cofradía Cristo Yacente
Albacete,Albacete,CLM,CH,EC,G02405942,A. de Belenistas Buen Pastor
Hellín,Albacete,CLM,CH,EC,G02411775,A. del Descendimiento
Hellín,Albacete,CLM,CH,EC,G02415479,Hermandad de la Santa Cena
Hellín,Albacete,CLM,CH,EC,G02416139,Hermandad de La Verónica
Hellín,Albacete,CLM,CH,EC,G02418382,Hermandad de la Santa Cruz
Tobarra,Albacete,CLM,CH,EC,G02432409,Hermandad del Santo Sepulcro
Albacete,Albacete,CLM,FUN,ID,G02434819,Cáritas - Fundación El Sembrador
La Roda,Albacete,CLM,CH,EC,G02435303,Junta de Cofradías
Hellín,Albacete,CLM,CH,EC,G02445286,Cofradía N. Sra. del Rosario
Albacete,Albacete,CLM,AS,EC,G02449684,MSC - Movimiento Scout Católico
Tobarra,Albacete,CLM,CH,EC,G02484046,Hermandad de San Roque
Hellín,Albacete,CLM,CH,EC,G02500296,Cofradía Cristo de la Clemencia
Hellín,Albacete,CLM,CH,EC,G02523496,Cofradía de San Antonio Abad
Albacete,Albacete,CLM,ED,ID,G02539369,Fundación Diocesana de Enseñanza Virgen de los Llanos
Hellín,Albacete,CLM,CH,EC,G02556728,Hermandad María Santísima
Tobarra,Albacete,CLM,CH,EC,G02580553,Federación de Hermandades y Cofradías
Hellín,Albacete,CLM,CH,EC,G02603884,Hermandad María Magdalena
Rioseco,Burgos,CYL,RES,MIX,G02629541,Cistercienses - Monasterio Santa María
Cardedeu,Barcelona,CAT,CH,EC,G02748150,Grup Pessebrista
Hellín,Albacete,CLM,CH,EC,G02754125,Hermandad N. Sra. de la Paz
Málaga,Málaga,AND,CH,EC,G02790624,Fieles de N. Padre Jesús de la Clemencia
Córdoba,Córdoba,AND,CI,CI,G02914281,Junta Islámica Fundación Las Fuentes
Madrid,Madrid,MAD,CH,EC,G02929271,Hermandad N. Sra. del Rocío
Valladolid,Valladolid,CYL,CH,EC,G02931491,A. San Isidro Labrador
Novelda,Alicante,VAL,ED,OR,G03050515,Hermanas San José de Cluny - APA Colegio
Benissa,Alicante,VAL,AS,EC,G03060407,Asilo N. Sra. de los Dolores
Ibi,Alicante,VAL,AS,EC,G03070513,Fundación Asilo Hogar San Joaquín
Callosa de S.,Alicante,VAL,CH,EC,G03084969,Patronato de La Pasión
Elda,Alicante,VAL,ED,EC,G03094695,Colegio Sagrada Familia - APA
El Campello,Alicante,VAL,ED,OR,G03099843,Salesianos - Fundación N. Sra. de la Piedad
Alicante,Alicante,VAL,ED,ID,G03104593,Colegio Diocesano N. Sra. del Remedio
Alicante,Alicante,VAL,CH,EC,G03141678,A. de Belenistas
Elda,Alicante,VAL,ED,OR,G03186061,Carmelitas - APA Colegio Santa María del Carmen
Villena,Alicante,VAL,ED,OR,G03203726,Carmelitas de la Caridad - Colegio Vedruna La Encarnación
Sax,Alicante,VAL,ED,OR,G03204047,Carmelitas - APA Colegio
Jijona,Alicante,VAL,CH,EC,G03226594,A. San Bartolomé y San Sebastián
Alicante,Alicante,VAL,AS,OR,G03277373,Agustinos - Centro Juvenil
Villena,Alicante,VAL,CH,EC,G03282043,Agrupación Navidad y Reyes
Alicante,Alicante,VAL,AS,EC,G03296829,MSC - Movimiento Scout Católico
Crevillente,Alicante,VAL,AS,OR,G03306321,Carmelitas - Residencia La Purísima
Alcoi,Alicante,VAL,AS,EC,G03312279,Casa Beneficencia Muro
Sant Joan,Alicante,VAL,CUL,ID,G03324233,Rondalla parroquial
Alicante,Alicante,VAL,ED,OR,G03432911,Escolapios - APA Colegio Calasancio
Callosa de S.,Alicante,VAL,CH,EC,G03449998,A. Belenistas
Elda,Alicante,VAL,CH,EC,G03454774,Hermandad de Cofradías de Pasión
Elche,Alicante,VAL,CH,EC,G03480431,Sociedad Venida de la Virgen
Elche,Alicante,VAL,CH,EC,G03484912,Grupo Jerusalem
Alicante,Alicante,VAL,DEP,OR,G03488152,Salesianos - CD. Don Bosco
Denia,Alicante,VAL,ED,OR,G03499753,Carmelitas - APA Colegio Sagrado Corazón
Alicante,Alicante,VAL,DEP,OR,G03516820,Maristas - CD Maristas
Villena,Alicante,VAL,ED,OR,G03531647,Salesianos - AMPA Colegio
Alicante,Alicante,VAL,CH,EC,G03533221,Hermandad Jesús atado a la Columna
Alcoi,Alicante,VAL,CH,EC,G03533668,Archicofradía Virgen de los Lirios
Novelda,Alicante,VAL,ED,ID,G03536539,Colegio Diocesano Oratorio Festivo
Castalla,Alicante,VAL,CH,EC,G03548351,A. Amigos Reyes Magos
Alicante,Alicante,VAL,CH,EC,G03550639,Cofradía N. Sra. de la Piedad
Alicante,Alicante,VAL,CH,EC,G03550688,Cofradía del Santísimo Ecce Homo
Alicante,Alicante,VAL,CH,EC,G03553682,Hermandad de la Santa Cena
Alicante,Alicante,VAL,CH,EC,G03555166,Hermandad del Gran Poder
Alicante,Alicante,VAL,AS,EC,G03563327,Asociación de Caridad San Vicente de Paul
Cocentaina,Alicante,VAL,CH,EC,G03565587,Cofradía Virgen del Milagro
Alicante,Alicante,VAL,CH,EC,G03588597,Hermandad de la Santa Cruz
Alicante,Alicante,VAL,CH,EC,G03595121,Hermandad del Santo Sepulcro
Orihuela,Murcia,MUR,CH,EC,G03598869,Junta de Hermandades
Alicante,Alicante,VAL,ED,OR,G03600350,Religiosas Jesús María - APA Colegio Villafranqueza
Castalla,Alicante,VAL,ED,ID,G03616588,Colegio Parroquial - APA
Denia,Alicante,VAL,ED,OR,G03623519,Maristas - APA Colegio San Juan Bautista
Alicante,Alicante,VAL,CH,EC,G03627841,Cofradía Cristo del Divino Amor
Alicante,Alicante,VAL,CH,EC,G03628062,Junta Mayor de Cofradías
Alicante,Alicante,VAL,CH,EC,G03649498,Hermandad Mater Desolata
Alicante,Alicante,VAL,CH,EC,G03663887,Hermandad Jesús Triunfante
Xàbia,Alicante,VAL,ED,OR,G03678091,Obreras de la Cruz - Colegio María Inmaculada
Almoradi,Alicante,VAL,CH,EC,G03686458,Hermandad del Prendimiento
Alicante,Alicante,VAL,CUL,OR,G03717725,Salesianos - Asociación Juvenil Don Bosco
Alicante,Alicante,VAL,CH,EC,G03717857,Cofradía Virgen del Carmen
Villena,Alicante,VAL,DEP,OR,G03724713,Salesianos - CD. Don Bosco
Ibis,Alicante,VAL,CH,EC,G03732625,A. Reyes Magos
Alicante,Alicante,VAL,CH,EC,G03734621,Hermandad del Perdón
Monovar,Alicante,VAL,ED,OR,G03734969,Escolapios - APA Colegio Divina Pastora
Alicante,Alicante,VAL,CH,EC,G03748746,Hermandad Stabat Mater
Alicante,Alicante,VAL,DEP,OR,G03780798,Salesianos - CD. Sporting
Valencia,Valencia,VAL,AS,OR,G03781580,Compañía de María - Solidaridad Internacional
Alicante,Alicante,VAL,AS,EC,G03842317,Banco de Alimentos
Callosa de S.,Alicante,VAL,CH,EC,G03983681,Junta Central de Hermandades
Elche,Alicante,VAL,CH,EC,G03992740,A. Belenistas
Almería,Almería,AND,CH,EC,G04015749,Agrupación de Hermandades
Almería,Almería,AND,AS,EC,G04035176,Frater - Fraternidad Cristiana Personas con Discapacidad
Almería,Almería,AND,CH,EC,G04049680,Hermandad del Descendimiento
Almería,Almería,AND,CH,EC,G04060034,Hermandad Santísimo Sacramento
Almería,Almería,AND,DEP,OR,G04111878,La Salle - CD.
Almería,Almería,AND,CH,EC,G04111878,Hermandad Jesús de la Sentencia
Almería,Almería,AND,CH,EC,G04124202 ,Cofradía Cristo de la Expiración
Almería,Almería,AND,AS,OR,G04137741,Franciscanos de la Cruz Blanca - Familia de Nazaret
Almería,Almería,AND,CH,EC,G04138541,Hermandad del Santo Sepulcro
Dalias,Almería,AND,CH,EC,G04139093,Hermandad Cristo de la Luz
Cuevas de A.,Almería,AND,CH,EC,G04145736,Hermandad de la Esperanza
Roquetas,Almería,AND,CH,EC,G04198651,Cofradía Cristo de la Buena Muerte
Almería,Almería,AND,CH,EC,G04222279,Hermandad Jesús de la Salud
Cuevas de A.,Almería,AND,CH,EC,G04223459,Hermandad N. Sra. de las Angustias
Cuevas de A.,Almería,AND,CH,EC,G04232500,Archicofradía de los Dolores
Cuevas de A.,Almería,AND,CH,EC,G04251237,Cofradía de Jesús Nazareno
Vera,Almería,AND,CH,EC,G04256400,Hermandad San Juan Evangelista
Roquetas,Almería,AND,CH,EC,G04263125,Cofradía N. Sra. de los Dolores
Almería,Almería,AND,CH,EC,G04269510,Hermandad del Gran Poder
Almería,Almería,AND,CH,EC,G04284626,Hermandad N. Sra. del Carmen
Vera,Almería,AND,CH,EC,G04291902,Hermandad Virgen de las Angustias
Vera,Almería,AND,CH,EC,G04300877,Archicofradía Jesús Nazareno
Benahadux,Almería,AND,CH,EC,G04302758,Hermandad de Jesús Nazareno
Roquetas,Almería,AND,CH,EC,G04317905,Hermandad Cristo de la Expiración
Huércal de A.,Almería,AND,CH,EC,G04320701,Hermandad Virgen de los Dolores
Albox,Almería,AND,CH,EC,G04332037,T. Nuestro Padre Jesús Nazareno
Albox,Almería,AND,CH,EC,G04367330,A. Amigos del Paso Blanco
Cuevas de A.,Almería,AND,CH,EC,G04369666,Hermandad de la Soledad
Pechina,Almería,AND,CH,EC,G04382289,Cofradía Virgen de los Dolores
Albox,Almería,AND,CH,EC,G04408787,A. Mater Dolorosa
Olula del Río,Almería,AND,CH,EC,G04418273,Cofradía Cristo de la Buena Muerte
Cuevas de A.,Almería,AND,CH,EC,G04432217,Hermandad Cristo del Perdón
Almería,Almería,AND,AS,EC,G04479028,Banco de Alimentos
Almería,Almería,AND,DEP,OR,G04546131,Jesuitas - CD. Sagrada Familia
Vera,Almería,AND,CH,EC,G04551099,Hermandad Virgen de los Perdones
Almería,Almería,AND,CH,EC,G04584389,Hermandad Cristo de la Caridad
Olula del Río,Almería,AND,CH,EC,G04595518,Asociación Virgen del Amor
Almería,Almería,AND,AS,EC,G04654547,Red Madre
Almería,Almería,AND,CH,EC,G04660544,A. Cristo del Mar
Serón,Almería,AND,CH,EC,G04668778,Asociación de Hermandades
Albox,Almería,AND,CH,EC,G04712980,Costaleros de la Pasión
Olula del Río,Almería,AND,CH,EC,G04905352,Asociación Cristo de los Estudiantes
Olula del Río,Almería,AND,CH,EC,G04905584,Cofradía N. Sra. de los Dolores
Olula del Río,Almería,AND,CH,EC,G04907317,Asociación Cristo de la Pasión
Cabra,Córdoba,AND,CH,EC,G04939559,A. Cofrade Sentimiento
Ávila,Ávila,CYL,DEP,ID,G05014782,Colegios Diocesanos - CD
Ávila,Ávila,CYL,CH,EC,G05103841,Junta de Semana Santa
Ávila,Ávila,CYL,AS,EC,G05196563,Banco de Alimentos
Ávila,Ávila,CYL,CH,EC,G05251921,Ruta Teresiana
Salamanca,Salamanca,CYL,CH,EC,G05251921,Ruta Teresiana
Coria,Sevilla,AND,CH,EC,G05284468,Unión Cofrades Penitenciales
Carmona,Sevilla,AND,CH,EC,G05299417,A. Fieles Jesús de la Salud
Caravaca,Murcia,MUR,Z,EC,G05492277,Casa de San Juan de la Cruz
Santonera,Murcia,MUR,CH,EC,G05548052,Hermandad N. Sra. del Rosario
Caravaca,Murcia,MUR,CH,EC,G05552435,Místicos de Caravaca San Juan y Santa Teresa
Lorca,Murcia,MUR,CH,EC,G05562467,Paso Morado y Vía Crucis
Badajoz,Badajoz,EXT,FUN,EC,G06016653,Hospital y Santa Casa de Misericordia
Badajoz,Badajoz,EXT,ED,OR,G06025696,FEC Educación Católica - AMPA Colegio Sagrada Familia
Badajoz,Badajoz,EXT,ED,OR,G06025928,Salesianos - APA Colegio Ramón Izquierdo
Badajoz,Badajoz,EXT,ED,OR,G06025951,Hermanas Santo Ángel - APA Colegio
Cabeza del Buey,Badajoz,EXT,ED,OR,G06027510,Carmelitas de la Caridad - APA Colegio Santa Teresa
Don Benito,Badajoz,EXT,FUN,MIX,G06047468,Fundación Hospital de San Antonio
Navalvillar,Badajoz,EXT,CH,EC,G06114706,Cofradía San Antonio Abad
Badajoz,Badajoz,EXT,DEP,OR,G06119333,Salesianos - CD. Don Bosco
Valverde Leganés,Badajoz,EXT,ED,OR,G06127831,H. Cristo Crucificado - APA Colegio
Don Benito,Badajoz,EXT,CH,EC,G06135248,Cofradía N. Sra. de las Cruces
Fregenal,Badajoz,EXT,ED,ID,G06140602,Escuelas Parroquiales APA
Almendralejo,Badajoz,EXT,CH,EC,G06142038,Cofradía Oración en el Huerto
Don Benito,Badajoz,EXT,CUL,ID,G06145270,Asociación Parroquial
Montemolin,Badajoz,EXT,CH,EC,G06150726,Hermandad de San Isidro
Badajoz,Badajoz,EXT,Z,OR,G06151617,Opus Dei - Federación Escuelas Familiares Agrarias
Mérida,Badajoz,EXT,ED,EC,G06152615,Federación Católica de APAs
Mérida,Badajoz,EXT,DEP,OR,G06180459,Salesianos - CD. Don Bosco
Almendralejo,Badajoz,EXT,CH,EC,G06202527,Cofradía Cristo de la Buena Muerte
Almendralejo,Badajoz,EXT,CH,EC,G06224398,Hermandad San Cristóbal
Almendralejo,Badajoz,EXT,CH,EC,G06280077,Cofradía María de la Merced
Mérida,Badajoz,EXT,AS,MIX,G06290639,Plataforma Voluntariado Extremadura
Zafra,Badajoz,EXT,AS,EC,G06302939,Fundación San Miguel Arcángel
Badajoz,Badajoz,EXT,DEP,OR,G06307169,Maristas - CD Maristas
Badajoz,Badajoz,EXT,DEP,OR,G06307169,Maristas - CD Maristas
Badajoz,Badajoz,EXT,AS,EC,G06382022,Banco de Alimentos
Badajoz,Badajoz,EXT,CH,EC,G06386718,A. Belenista
La Guareña,Badajoz,EXT,CH,EC,G06495840,Cofradía de la Santa Cruz
Almendralejo,Badajoz,EXT,CH,EC,G06520480,Cofradía Cristo del Amparo
Almendralejo,Badajoz,EXT,Z,EC,G06556062,Asociación Provida
Almendralejo,Badajoz,EXT,CH,EC,G06598650,Cofrradía Jesús Cautivo
Almendralejo,Badajoz,EXT,IC,EC,G06602486,Adoración Nocturna
Villafranco,Badajoz,EXT,CH,EC,G06617690,A. Virgen del Socorro
Almendralejo,Badajoz,EXT,CH,EC,G06634661,Hermandad Cristo del Amparo
Almendralejo,Badajoz,EXT,CH,EC,G06661417,Consejo de Hermandades
Mérida,Badajoz,EXT,DEP,OR,G06670152,Josefinas - CD. 
Badajoz,Badajoz,EXT,CH,EC,G06678791,A. Belén Bíblico
Badajoz,Badajoz,EXT,AS,EC,G06681019,MSC - Movimiento Scout Católico
Puebal de la C.,Badajoz,EXT,AS,EC,G06681019,MSC - Movimiento Scout Católico
Cabeza del Buey,Badajoz,EXT,AS,OR,G06682470,Franciscanas Hospitalarias JN - Asilo
Badajoz,Badajoz,EXT,AS,ID,G06686778,Cáritas
Almendralejo,Badajoz,EXT,CH,EC,G06747604,Cofradía Cristo Resucitado
Muel,Badajoz,EXT,RES,EC,G06840425,Ars Sacrandi
Madrid,Madrid,MAD,DEP,OR,G06879712,Escolapias - CD. Carabanchel
Dos Hermanas,Sevilla,AND,DEP,OR,G06949978,Escolapios - CD. Arenas
Valladolid,Valladolid,CYL,AS,MIX,G06986459,Plataforma Tercer Sector
Palma,Baleares,IB,AS,MIX,G07038714,Institución Nazaret
Palma,Baleares,IB,AS,OR,G07050164,Jesuitas - Patronato Obrero San José
Alaior,Baleares,IB,ED,OR,G07072374,La Salle - APA. Colegio
Menorca,Baleares,IB,CUL,OR,G07078199,Salesianos - Antiguos Alumnos
Manacor,Baleares,IB,ED,OR,G07109879,La Salle - APA. Colegio
Mahón,Baleares,IB,ED,OR,G07123235,Esclavas Corazón de María - APA Colegio
Mahón,Baleares,IB,ED,OR,G07123243,La Salle - APA. Colegio
Mallorca,Baleares,IB,DEP,OR,G07163025,La Salle - CD.
Muro,Baleares,IB,ED,ID,G07213531,Centro Parroquial San Francisco de Asís - APA
Ferreries,Baleares,IB,ED,ID,G07241532,Colegio Diocesano San Francisco de Asís - APA
Soller,Baleares,IB,ED,OR,G07246648,Sagrados Corazones - AMPA Colegio
Palma,Baleares,IB,ED,ID,G07263486,Colegio Diocesano San Antonio Abad - APA
Palma,Baleares,IB,ED,OR,G07305485,Jesuitas - Apima Colegio Montesión
Inca,Baleares,IB,ED,OR,G07473275,Pureza de María - APA Colegio
Palma,Baleares,IB,AS,EC,G07488059,Proyecto Hombre
Palma,Baleares,IB,DEP,OR,G07547219,La Salle - CB. La Salle
Palma,Baleares,IB,DEP,OR,G07675473,La Salle - CD. La Salle Atlético
Palma,Baleares,IB,ED,ID,G07786981,Fundación Diocesana Isidoro Macabich
Palma,Baleares,IB,AS,EC,G07794910,Patronato Obrero San José
Palma,Baleares,IB,AS,EC,G07803570,Proyecto Hombre
Palma,Baleares,IB,DEP,OR,G07848641,La Salle - Club Natación
Ibiza,Baleares,IB,CH,EC,G07997224,Cofradía Santísimo Cristo del Cementerio
Manresa,Barcelona,CAT,AS,MIX,G08197774,Hospital de la Santa Creu i Sant Pau
Terrassa,Barcelona,CAT,AS,MIX,G08245714,Hijas de la Caridad - Fundación Busquet
Sitges,Barcelona,CAT,AS,EC,G08246720,Fundación Hospital Sant Joan Baptista
Barcelona,Barcelona,CAT,AS,EC,G08291650,Casa de Misericordia
Barcelona,Barcelona,CAT,AS,EC,G08295198,Aldeas Infantiles SOS
Vallvidrera,Barcelona,CAT,ED,EC,G08305054,Casa de la Sagrada Familia
Martorell,Barcelona,CAT,AS,OR,G08356024,San Juan de Dios - Hospital
Barcelona,Barcelona,CAT,AS,EC,G08373037,Fundació Nen Deu
Gavá,Barcelona,CAT,ED,OR,G08408601,Hermanos de la Sagrada Familia - AMPA Colegio
Mataró,Barcelona,CAT,AS,EC,G08477788,Hospital Sant Jaume
Barcelona,Barcelona,CAT,EV,EV,G08489528,Hospital Evangélico
Barcelona,Barcelona,CAT,ED,EC,G08514978,Casa Asilo San Andrés de Palomar
Santpedor,Barcelona,CAT,ED,EC,G08528812,Escola Llissach
Vilanova,Barcelona,CAT,AS,EC,G08530826,Hospital Sant Antoni Abat
Barcelona,Barcelona,CAT,CUL,EC,G08534984,Circulo Católico de Gracia
Barcelona,Barcelona,CAT,AS,EC,G08572737,Fundación Sanitaria Sant Pere Claver
Vilassar de Dalt,Barcelona,CAT,AS,MIX,G08630261,Fundación Hospital Sant Pere
Barcelona,Barcelona,CAT,IC,EC,G08696478,Hospitalitat Mare de Deu de Lourdes
Mataró,Barcelona,CAT,CUL,ID,G08696494,Patronato Sagrada Familia - Arzobispado
Badalona,Barcelona,CAT,CUL,EC,G08713349,Centro Católico
Barcelona,Barcelona,CAT,ED,EC,G08716128,CEU - Fundación Abat Oliba Spinola
Barcelona,Barcelona,CAT,ED,EC,G08722308,Asociación Católica de Padres N. Sra. de los Ángeles
Barcelona,Barcelona,CAT,FUN,EC,G08754210,MSC - Movimiento Scout Católico
Mollet del Vallés,Barcelona,CAT,FUN,ID,G08758385,Casa Asilo Parroquial de la Inmaculada
