nombre,provincia,slug_provincia,direccion,telefono,email,horario,registrador,url,fecha_extraccion
Registro de la Propiedad de Irun,Guipúzcoa,gipuzkoa,"Lamisingo Iturria, Edif. Ugalde - planta 3ª - Ofic. 309, 20305",(943) 46 98 39,irun@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,José Ignacio Santos Suárez Marquez,https://www.registradores.org/directorio/-/registros/propiedad/gipuzkoa/irun/registro-de-la-propiedad-de-irun,2026-01-25 23:51:41
Registro de la Propiedad de Tolosa Nº 01,Guipúzcoa,gipuzkoa,"Plaza San Joan, 2 - planta baja, 20400",(943) 67 55 99,tolosa@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,María del Rosario García Jiménez,https://www.registradores.org/directorio/-/registros/propiedad/gipuzkoa/tolosa/registro-de-la-propiedad-de-tolosa-n-01,2026-01-25 23:51:42
Registro de la Propiedad de Tolosa Nº 02,Guipúzcoa,gipuzkoa,"Plaza San Joan, 2 - planta baja, 20400",943 67 55 99,tolosa2@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Daniel Enrique Ferrán Del Villar,https://www.registradores.org/directorio/-/registros/propiedad/gipuzkoa/tolosa/registro-de-la-propiedad-de-tolosa-n-02,2026-01-25 23:51:42
Registro de la Propiedad de Adra,Almería,almeria,"Costa Rica, 1 - local A, 4770",950 60 48 22,adra@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Ana María Rodríguez López,https://www.registradores.org/directorio/-/registros/propiedad/almeria/adra/registro-de-la-propiedad-de-adra,2026-01-25 23:51:42
Registro de la Propiedad de Almería Nº 01,Almería,almeria,"Antonio González Egea, 8-bajo, 4001",(950) 23 41 00,almeria1@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,M.ª Pilar Linares González,https://www.registradores.org/directorio/-/registros/propiedad/almeria/almeria/registro-de-la-propiedad-de-almeria-n-01,2026-01-25 23:51:42
Registro de la Propiedad de Almería Nº 02,Almería,almeria,"Antonio González Egea, 8 - 1ª planta, 4001",(950) 24 26 88,almeria2@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,M.ª Isabel Lapuente Madrid,https://www.registradores.org/directorio/-/registros/propiedad/almeria/almeria/registro-de-la-propiedad-de-almeria-n-02,2026-01-25 23:51:42
Registro de la Propiedad de Almería Nº 03,Almería,almeria,"Antonio González Egea, 8 - 2ª planta, 4001",950 26 20 33,almeria3@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Juan Guillermo González-Meneses García-Valdecasas,https://www.registradores.org/directorio/-/registros/propiedad/almeria/almeria/registro-de-la-propiedad-de-almeria-n-03,2026-01-25 23:51:42
Registro de la Propiedad de Almería Nº 04,Almería,almeria,"Antonio González Egea, 8, 3º, 4001",950 27 88 36,almeria4@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,María Luisa Fernández Núñez,https://www.registradores.org/directorio/-/registros/propiedad/almeria/almeria/registro-de-la-propiedad-de-almeria-n-04,2026-01-25 23:51:42
Registro de la Propiedad de Almería Nº 05,Almería,almeria,"Martínez Almagro, 5, 4001",950 27 76 71,almeria5@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Juan Cavalle Herrero,https://www.registradores.org/directorio/-/registros/propiedad/almeria/almeria/registro-de-la-propiedad-de-almeria-n-05,2026-01-25 23:51:42
Registro de la Propiedad de Berja,Almería,almeria,"La Unión, local 1 y 3 - Edif. Generalife, 4760",(950) 49 06 57,berja@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Diego José Ortega Muñoz,https://www.registradores.org/directorio/-/registros/propiedad/almeria/berja/registro-de-la-propiedad-de-berja,2026-01-25 23:51:42
Registro de la Propiedad de Canjáyar,Almería,almeria,"Santa Cruz, 16  bajo izq., 4450",(950) 51 04 39,canjayar@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Encarnación Sandoval Caro,https://www.registradores.org/directorio/-/registros/propiedad/almeria/canjayar/registro-de-la-propiedad-de-canjayar,2026-01-25 23:51:42
Registro de la Propiedad de Cuevas del Almanzora,Almería,almeria,"Sor Paz, 23, 4610",(950) 45 60 11,cuevasdealmanzora@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Íñigo Mateo y Villa,https://www.registradores.org/directorio/-/registros/propiedad/almeria/cuevas-del-almanzora/registro-de-la-propiedad-de-cuevas-del-almanzora,2026-01-25 23:51:42
Registro de la Propiedad de El Ejido Nº 01,Almería,almeria,"Miguel Ángel, 6 - 1º, 4700",950 48 67 57,elejido@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Rafael Palau Fayos,https://www.registradores.org/directorio/-/registros/propiedad/almeria/ejido-el/registro-de-la-propiedad-de-ejido-el-n-01,2026-01-25 23:51:42
Registro de la Propiedad de El Ejido Nº 02,Almería,almeria,"Miguel Ángel, 6 - 1º, 4700",(950) 57 32 00,elejido2@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Rafael Palau Fayos,https://www.registradores.org/directorio/-/registros/propiedad/almeria/ejido-el/registro-de-la-propiedad-de-ejido-el-n-02,2026-01-25 23:51:42
Registro de la Propiedad de Gérgal,Almería,almeria,"Sebastian Pérez, 53, 4550",(950) 35 30 20,gergal@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Juan Fernando Cánovas Verdú,https://www.registradores.org/directorio/-/registros/propiedad/almeria/gergal/registro-de-la-propiedad-de-gergal,2026-01-25 23:51:42
Registro de la Propiedad de Huércal Overa,Almería,almeria,"C/ Estación, 24 - bajo, 4600",(950) 13 50 26,huercal-overa@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,María Asunción Fernández Aguirre,https://www.registradores.org/directorio/-/registros/propiedad/almeria/huercal-overa/registro-de-la-propiedad-de-huercal-overa,2026-01-25 23:51:42
Registro de la Propiedad de Mojácar,Almería,almeria,"Avda. del Mar, 2, Centro comercial Marina de La Torre, locales 8-12, 4638",950 39 70 54,mojacar@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,José Ramon Alconchel Sáiz-Pardo,https://www.registradores.org/directorio/-/registros/propiedad/almeria/mojacar/registro-de-la-propiedad-de-mojacar,2026-01-25 23:51:42
Registro de la Propiedad de Purchena,Almería,almeria,"Pablo Picasso, 3, 4870",(950) 42 30 35,purchena@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,María Desirée Martínez Martínez,https://www.registradores.org/directorio/-/registros/propiedad/almeria/purchena/registro-de-la-propiedad-de-purchena,2026-01-25 23:51:42
Registro de la Propiedad de Roquetas de Mar Nº 01,Almería,almeria,"Avda. José Amat Benavides, 14, 4740",950 33 87 18,roquetasdemar@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Cristobal Avilés Hidalgo,https://www.registradores.org/directorio/-/registros/propiedad/almeria/roquetas-de-mar/registro-de-la-propiedad-de-roquetas-de-mar-n-01,2026-01-25 23:51:42
Registro de la Propiedad de Roquetas de Mar Nº 02,Almería,almeria,"Armada Española, 39 - bajo, 4740",(950) 33 82 29,roquetasdemar2@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Álvaro López Sarrias,https://www.registradores.org/directorio/-/registros/propiedad/almeria/roquetas-de-mar/registro-de-la-propiedad-de-roquetas-de-mar-n-02,2026-01-25 23:51:42
Registro de la Propiedad de Roquetas de Mar Nº 03,Almería,almeria,"Fragata, 12 - bajo, esq. Avda. José Amat Benavides, 4740",950 33 88 63,roquetasdemar3@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Eduardo Entrala Bueno,https://www.registradores.org/directorio/-/registros/propiedad/almeria/roquetas-de-mar/registro-de-la-propiedad-de-roquetas-de-mar-n-03,2026-01-25 23:51:42
Registro de la Propiedad de Vélez Rubio,Almería,almeria,"Carrera del Carmen, 4 y 6, 4820",(950) 41 01 03,velezrubio@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Victoria Gómez Sánchez,https://www.registradores.org/directorio/-/registros/propiedad/almeria/velez-rubio/registro-de-la-propiedad-de-velez-rubio,2026-01-25 23:51:42
Registro de la Propiedad de Vera,Almería,almeria,"C/ Pedro el Morato, acceso por Pasaje Venus, 7, 4620",950 37 50 90,vera@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Juan Manuel García Torrecillas García,https://www.registradores.org/directorio/-/registros/propiedad/almeria/vera/registro-de-la-propiedad-de-vera,2026-01-25 23:51:42
Registro de la Propiedad de Balaguer Nº 01,Lleida,lleida,"Avda. Paises Catalanes, 21-23 Entrsuelo, 25600",(973) 44 54 08,balaguer@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Fatima Azpitarte Santos,https://www.registradores.org/directorio/-/registros/propiedad/lleida/balaguer/registro-de-la-propiedad-de-balaguer-n-01,2026-01-25 23:51:42
Registro de la Propiedad de Les Borges Blanques,Lleida,lleida,"Avenida de Sardana, 8, 25400",(973) 14 21 15,borjasblancas@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Manuel Marín Salor,https://www.registradores.org/directorio/-/registros/propiedad/lleida/borges-blanques-les/registro-de-la-propiedad-de-borges-blanques-les,2026-01-25 23:51:42
Registro de la Propiedad de Cervera,Lleida,lleida,"Avinguda Durán i Sampere, 41, 25200",(973) 53 02 04,cervera@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Dorleta Pilar Sanza Olaizola,https://www.registradores.org/directorio/-/registros/propiedad/lleida/cervera/registro-de-la-propiedad-de-cervera,2026-01-25 23:51:42
Registro de la Propiedad de Lleida Nº 01,Lleida,lleida,"Gran Paseo de Ronda, 87, 25006",(973) 27 33 00,lleida1@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,M.ª Eugenia Rubies Farre,https://www.registradores.org/directorio/-/registros/propiedad/lleida/lleida/registro-de-la-propiedad-de-lleida-n-01,2026-01-25 23:51:42
Registro de la Propiedad de Lleida Nº 02,Lleida,lleida,"Pasaje Pompeyo, 4 - 7ºA, 25006",973 27 33 09,lleida2@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Marta Gómez Llorens,https://www.registradores.org/directorio/-/registros/propiedad/lleida/lleida/registro-de-la-propiedad-de-lleida-n-02,2026-01-25 23:51:42
Registro de la Propiedad de Lleida Nº 03,Lleida,lleida,"Paseo de Ronda, 91, 25006",(973) 26 39 87,lleida3@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,M.ª José Caubet Suanzes,https://www.registradores.org/directorio/-/registros/propiedad/lleida/lleida/registro-de-la-propiedad-de-lleida-n-03,2026-01-25 23:51:43
Registro de la Propiedad de Lleida Nº 04,Lleida,lleida,"Gran Paseo de Ronda, 87 - altillo (acceso por Pasaje Brasilia), 25006",(973) 27 33 02,lleida4@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Francisco Molina Balaguer,https://www.registradores.org/directorio/-/registros/propiedad/lleida/lleida/registro-de-la-propiedad-de-lleida-n-04,2026-01-25 23:51:43
Registro de la Propiedad de La Seu d'Urgell,Lleida,lleida,"Avda. de Saloria, 22-bajo, 25700",(973) 35 00 94,seodeurgel@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,María Cruz Borlado Palomino,https://www.registradores.org/directorio/-/registros/propiedad/lleida/seu-durgell-la/registro-de-la-propiedad-de-seu-durgell-la,2026-01-25 23:51:43
Registro de la Propiedad de Solsona,Lleida,lleida,"Avenida dels Paises Catalans, 3 - bajos, 25280",(973) 48 03 08,solsona@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Pedro García Alcaraz,https://www.registradores.org/directorio/-/registros/propiedad/lleida/solsona/registro-de-la-propiedad-de-solsona,2026-01-25 23:51:43
Registro de la Propiedad de Sort,Lleida,lleida,"Avda. Doctor Muxí, 4 - bajos, 25560",(973) 62 00 63,sort@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Naira Bertol Encinas,https://www.registradores.org/directorio/-/registros/propiedad/lleida/sort/registro-de-la-propiedad-de-sort,2026-01-25 23:51:43
Registro de la Propiedad de Tárrega,Lleida,lleida,"Sant Pelegrí, 28, 25300",973 31 24 63,tarrega@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Maite Fernández De Alarcón,https://www.registradores.org/directorio/-/registros/propiedad/lleida/tarrega/registro-de-la-propiedad-de-tarrega,2026-01-25 23:51:43
Registro de la Propiedad de Tremp,Lleida,lleida,"Magistrado Saura, 7, 25620",(973) 65 08 37,tremp@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,María Pilar Ballesteros Jerez,https://www.registradores.org/directorio/-/registros/propiedad/lleida/tremp/registro-de-la-propiedad-de-tremp,2026-01-25 23:51:42
Registro de la Propiedad de Vielha,Lleida,lleida,"Garona, 23, 25530",(973) 64 00 89,viella@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,David Coll Pol,https://www.registradores.org/directorio/-/registros/propiedad/lleida/vielha-e-mijaran/registro-de-la-propiedad-de-vielha,2026-01-25 23:51:42
Registro de la Propiedad de Cáceres Nº 01,Cáceres,caceres,"Avda. de España, 1 - 1º, 10004",(927) 22 60 49,caceres1@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Ana Isabel Baltar Martín,https://www.registradores.org/directorio/-/registros/propiedad/caceres/caceres/registro-de-la-propiedad-de-caceres-n-01,2026-01-25 23:51:43
Registro de la Propiedad de Cáceres Nº 02,Cáceres,caceres,"Avda. de España, 1 - 1º, 10004",927 22 20 16,caceres2@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Ana Isabel Baltar Martín,https://www.registradores.org/directorio/-/registros/propiedad/caceres/caceres/registro-de-la-propiedad-de-caceres-n-02,2026-01-25 23:51:43
Registro de la Propiedad de Coria,Cáceres,caceres,"Avenida Monseñor Riberi, 40, 10800",(927) 50 07 34,coria@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Alfonso López Villarroel,https://www.registradores.org/directorio/-/registros/propiedad/caceres/coria/registro-de-la-propiedad-de-coria,2026-01-25 23:51:43
Registro de la Propiedad de Hervás,Cáceres,caceres,"La Mata, 2 y 4, 10700",(927) 48 10 82,hervas@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Leticia Basagoiti Pastor,https://www.registradores.org/directorio/-/registros/propiedad/caceres/hervas/registro-de-la-propiedad-de-hervas,2026-01-25 23:51:43
Registro de la Propiedad de Hoyos,Cáceres,caceres,"Avenida de España, 2, 10850",(927) 51 40 20,hoyos@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Macarena Emilia Ovejero Eslava,https://www.registradores.org/directorio/-/registros/propiedad/caceres/hoyos/registro-de-la-propiedad-de-hoyos,2026-01-25 23:51:43
Registro de la Propiedad de Jarandilla de la Vera,Cáceres,caceres,"Avda. Soledad Vega Ortiz, 44 - 1º, 10450",(927) 56 00 20,jarandilla@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Maria Lourdes Ruiz Quirante,https://www.registradores.org/directorio/-/registros/propiedad/caceres/jarandilla-de-la-vera/registro-de-la-propiedad-de-jarandilla-de-la-vera,2026-01-25 23:51:43
Registro de la Propiedad de Logrosán,Cáceres,caceres,"Miguel de Cervantes, 11 - A, 10120",(927) 36 00 57,logrosan@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Pablo Carlos Castellano Castro,https://www.registradores.org/directorio/-/registros/propiedad/caceres/logrosan/registro-de-la-propiedad-de-logrosan,2026-01-25 23:51:43
Registro de la Propiedad de Montánchez,Cáceres,caceres,"Virgen de los Remedios, 20, 10170",(927) 38 00 84,montanchez@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Edivia García de Vinuesa Cáceres,https://www.registradores.org/directorio/-/registros/propiedad/caceres/montanchez/registro-de-la-propiedad-de-montanchez,2026-01-25 23:51:43
Registro de la Propiedad de Navalmoral de la Mata,Cáceres,caceres,"Vérgara, 1 - 1º, 10300",927 53 00 77,navalmoraldelamata@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,Eduardo Sánchez-Ocaña Gundín,https://www.registradores.org/directorio/-/registros/propiedad/caceres/navalmoral-de-la-mata/registro-de-la-propiedad-de-navalmoral-de-la-mata,2026-01-25 23:51:43
Registro de la Propiedad de Plasencia,Cáceres,caceres,"Avenida Juan Carlos I, 17 - entrepl., 10600",(927) 41 09 44,plasencia@registrodelapropiedad.org,De lunes a viernes de 09:00 a 17:00 horas | Agosto: De lunes a viernes de 09:00 a 14:00 horas | Los días 24 y 31 de diciembre de 09:00 a 14:00 horas,José Mariano Hernández Daniel,https://www.registradores.org/directorio/-/registros/propiedad/caceres/plasencia/registro-de-la-propiedad-de-plasencia,2026-01-25 23:51:43
